,AGREEMENT_RK,ID_CLIENT,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
0,59910150,106804370,0,49,1,0,1,2,1,5000.0,1,1.0
1,59910230,106804371,0,32,1,0,1,3,3,12000.0,1,1.0
2,59910525,106804372,0,52,1,0,1,4,0,9000.0,2,1.0
3,59910803,106804373,0,39,1,0,1,1,1,25000.0,1,1.0
4,59911781,106804374,0,30,1,0,0,0,0,12000.0,2,1.0
5,59911784,106804375,0,29,1,0,0,0,0,12000.0,2,1.0
6,59911832,106804376,0,35,1,0,0,1,1,15000.0,2,2.0
7,59912034,106804377,0,41,1,0,1,0,0,6000.0,2,1.0
8,59912560,106804378,0,53,1,0,0,2,0,100000.0,1,1.0
9,59912659,106804379,0,43,1,0,1,0,0,7000.0,1,1.0
10,59912692,106804380,0,54,1,0,1,2,0,19000.0,1,1.0
11,59913108,106804381,1,26,1,0,0,0,0,18000.0,2,1.0
12,59913134,106804382,1,62,0,1,0,3,0,7000.0,1,1.0
13,59913205,106804383,0,45,1,0,1,3,1,12000.0,1,1.0
14,59913395,106804384,0,38,1,0,1,0,1,20000.0,2,1.0
15,59913542,106804385,1,41,1,0,1,0,0,60000.0,1,1.0
16,59913603,106804386,0,65,0,1,1,2,0,10000.0,1,1.0
17,59913652,106804387,0,29,1,0,1,1,1,5200.0,1,1.0
18,59913736,106804388,1,34,1,0,0,0,0,35000.0,1,1.0
19,59913985,106804389,0,28,1,0,1,0,0,15000.0,1,1.0
20,59914132,106804390,0,37,1,0,1,1,1,10000.0,1,1.0
21,59914133,106804391,0,42,1,0,1,1,1,10000.0,1,1.0
22,59914282,106804392,0,45,1,0,1,3,2,14000.0,1,1.0
23,59914348,106804393,0,32,1,0,1,0,0,10000.0,1,1.0
24,59914507,106804394,0,33,1,0,1,1,1,8000.0,1,1.0
25,59914532,106804395,0,38,1,0,1,1,1,13000.0,1,1.0
26,59914562,106804396,0,27,1,0,1,0,0,12500.0,1,1.0
27,59914760,106804397,1,31,1,0,1,1,1,12000.0,1,1.0
28,59914815,106804398,0,40,1,0,0,1,1,20000.0,1,1.0
29,59914912,106804399,0,63,0,1,1,0,0,5000.0,1,1.0
30,59914934,106804400,0,40,1,0,1,3,2,11000.0,1,1.0
31,59914938,106804401,0,27,1,0,0,1,1,15000.0,1,1.0
32,59915134,106804402,0,49,1,0,1,2,0,5000.0,1,1.0
33,59915164,106804403,0,29,1,0,0,0,0,10000.0,1,1.0
34,59915192,106804404,0,61,1,0,1,0,0,13000.0,1,1.0
35,59915193,106804405,0,43,1,0,1,2,2,30000.0,1,1.0
36,59915275,106804406,0,38,1,0,0,0,0,23000.0,2,2.0
37,59915302,106804407,0,38,1,0,0,4,4,15000.0,1,1.0
38,59915312,106804408,0,49,1,0,0,2,0,10000.0,1,1.0
39,59915340,106804409,0,44,1,0,1,0,0,13000.0,1,1.0
40,59915354,106804410,0,61,0,1,1,2,0,5000.0,1,1.0
41,59915402,106804411,0,28,1,0,1,1,1,8000.0,2,2.0
42,59915484,106804412,0,31,1,0,0,1,1,20000.0,1,1.0
43,59915500,106804413,0,59,0,1,1,0,0,4000.0,1,1.0
44,59915564,106804414,0,54,1,0,1,2,0,8000.0,2,1.0
45,59915634,106804415,0,48,1,0,1,2,0,13000.0,1,1.0
46,59915800,106804416,0,24,1,0,0,0,0,50000.0,1,1.0
47,59915970,106804417,0,48,1,0,1,0,0,15000.0,1,1.0
48,59916060,106804418,0,43,1,0,1,1,1,20000.0,2,1.0
49,59916079,106804419,0,23,1,0,0,1,1,18000.0,1,1.0
50,59916196,106804420,0,54,1,0,1,2,0,40000.0,1,1.0
51,59916537,106804421,0,37,1,0,0,1,1,10000.0,1,1.0
52,59916782,106804422,0,47,1,0,1,0,0,20000.0,1,1.0
53,59917047,106804423,0,52,0,1,1,1,1,5700.0,2,2.0
54,59917064,106804424,0,24,1,0,0,0,0,15000.0,2,2.0
55,59917071,106804425,0,48,1,0,1,0,0,11000.0,1,1.0
56,59917104,106804426,0,58,0,1,0,2,0,9000.0,1,1.0
57,59917205,106804427,0,34,1,0,1,0,0,9000.0,1,1.0
58,59917790,106804428,0,31,1,0,1,0,0,12800.0,2,1.0
59,59917807,106804429,0,31,1,0,0,1,1,20000.0,1,1.0
60,59917814,106804430,1,35,1,0,1,1,1,15000.0,1,1.0
61,59917902,106804431,0,54,0,1,1,2,0,10000.0,1,1.0
62,59918129,106804432,0,35,1,0,1,1,1,15000.0,1,1.0
63,59918141,106804433,0,61,0,1,1,2,0,5500.0,1,1.0
64,59918142,106804434,0,52,1,0,0,0,1,7000.0,1,1.0
65,59918152,106804435,1,34,1,0,0,2,2,6000.0,1,1.0
66,59918243,106804436,0,44,1,0,0,3,3,11000.0,1,1.0
67,59918315,106804437,0,63,0,1,1,2,0,4800.0,1,1.0
68,59918616,106804438,0,30,1,0,0,0,0,30000.0,1,1.0
69,59918705,106804439,0,27,1,0,1,0,0,5300.0,1,1.0
70,59918758,106804440,0,35,1,0,1,0,0,50000.0,1,1.0
71,59919115,106804441,0,48,1,0,1,2,0,11000.0,1,1.0
72,59919158,106804442,0,29,1,0,1,1,1,11700.0,1,1.0
73,59919255,106804443,0,30,1,0,0,1,1,8000.0,1,1.0
74,59919426,106804444,0,31,1,0,1,1,1,5000.0,2,2.0
75,59919466,106804445,0,51,1,0,1,2,0,7500.0,1,1.0
76,59919794,106804446,0,47,1,0,0,2,1,18000.0,2,2.0
77,59919854,106804447,0,26,1,0,0,0,0,8000.0,1,1.0
78,59920262,106804448,0,44,1,0,0,2,2,20000.0,1,1.0
79,59920457,106804449,1,33,1,0,1,1,1,10000.0,1,1.0
80,59920692,106804450,0,35,1,0,1,0,0,9000.0,1,1.0
81,59920809,106804451,0,51,1,0,1,1,0,11000.0,1,1.0
82,59920871,106804452,0,43,1,0,1,1,1,15000.0,2,2.0
83,59920924,106804453,0,35,1,0,0,1,1,15000.0,1,1.0
84,59921016,106804454,1,27,1,0,1,0,0,10000.0,1,1.0
85,59921388,106804455,0,54,1,0,1,0,0,15000.0,1,1.0
86,59921422,106804456,0,28,1,0,1,1,1,8000.0,1,1.0
87,59921596,106804457,0,53,1,0,0,2,0,25000.0,1,1.0
